genus	host.source
Ayohtrevirus	bacteria
Azorudivirus	archaea
Babosmacovirus	vertebrates
Babusatellite	plants
Babuvirus	plants
Bacelvirus	bacteria
Bacillarnavirus	algae
Backyardiganvirus	bacteria
Badaguanvirus	bacteria
Badaztecvirus	bacteria
Badnavirus	plants
Bafinivirus	vertebrates
Bahdevuvirus	bacteria
Bahnicevirus	bacteria
Bahscuvirus	bacteria
Baikalvirus	bacteria
Baileybluvirus	bacteria
Bakolyvirus	bacteria
Baltimorevirus	bacteria
Baltivirus	bacteria
Banchanvirus	bacteria
Bandavirus	invertebrates+vertebrates
Banmivirus	plants
Bantamvirus	bacteria
Baoshanvirus	bacteria
Barbavirus	bacteria
Barhavirus	invertebrates
Barnavirus	fungi
Barnyardvirus	bacteria
Bartonegtaviriform	bacteria
Basiliskvirus	bacteria
Bastillevirus	bacteria
Bathrivirus	bacteria
Batravirus	vertebrates
Bavovirus	vertebrates
Baxterfoxvirus	bacteria
Baylorvirus	bacteria
Bcepfunavirus	bacteria
Bcepmuvirus	bacteria
Bdellomicrovirus	bacteria
Beceayunavirus	bacteria
Becedseptimavirus	bacteria
Becurtovirus	plants
Beecentumtrevirus	bacteria
Beejeyvirus	archaea
Beenievirus	bacteria
Beetrevirus	bacteria
Begomovirus	invertebrates+plants
Behevivirus	bacteria
Behlfluvirus	bacteria
Behunavirus	bacteria
Beidivirus	invertebrates
Belbovirus	bacteria
Bellamyvirus	bacteria
Bembunaquatrovirus	bacteria
Bendigovirus	bacteria
Benedictvirus	bacteria
Benyvirus	plants
Beograduvirus	bacteria
Bequatrovirus	bacteria
Berdovirus	bacteria
Berhavirus	invertebrates
Berlinvirus	bacteria
Bernalvirus	bacteria
Bertavirus	bacteria
Bertelyvirus	bacteria
Beshanovirus	bacteria
Besingivirus	bacteria
Betaarterivirus	vertebrates
Betabaculovirus	invertebrates
Betabotoulivirus	algae+fungi
Betacarmovirus	plants
Betachrysovirus	fungi
Betacoronavirus	vertebrates
Betadintovirus	vertebrates
Betaendornavirus	fungi
Betaentomopoxvirus	invertebrates
Betafusarivirus	fungi
Betafusellovirus	archaea
Betaguttavirus	archaea
Betahymrhavirus	invertebrates
Betahypovirus	fungi
Betainfluenzavirus	vertebrates
Betalipothrixvirus	archaea
Betanecrovirus	plants
Betanemrhavirus	invertebrates
Betanodavirus	vertebrates
Betanucleorhabdovirus	plants
Betanudivirus	invertebrates
Betapapillomavirus	vertebrates
Betapaprhavirus	invertebrates
Betapartitivirus	fungi+plants
Betapleolipovirus	archaea
Betapolyomavirus	vertebrates
Betaretrovirus	vertebrates
Betarhizoulivirus	fungi
Betaricinrhavirus	invertebrates
Betasatellite	plants
Betascleroulivirus	algae+fungi
Betatectivirus	bacteria
Betatetravirus	invertebrates
Betatorquevirus	vertebrates
Betatristromavirus	archaea
Betayadokarivirus	fungi
Betterkatzvirus	bacteria
Bevemovirus	plants
Biavirus	algae
Bicaudavirus	archaea
Bicehmovirus	bacteria
Bidensovirus	invertebrates
Bidhavirus	bacteria
Bielevirus	bacteria
Bievrevirus	bacteria
Bifilivirus	bacteria
Bifseptvirus	bacteria
Bigmanorsvirus	bacteria
Bignuzvirus	bacteria
Bihdovirus	bacteria
Bilifuvirus	bacteria
Bingvirus	bacteria
Bippervirus	bacteria
Biquartavirus	bacteria
Birdsnestvirus	bacteria
Birpovirus	bacteria
Bisdanovirus	bacteria
Biseptimavirus	bacteria
Bixiavirus	bacteria
Bixzunavirus	bacteria
Bjornvirus	bacteria
Blafavirus	bacteria
Blattambidensovirus	invertebrates+vertebrates
Blinduvirus	bacteria
Blohavirus	bacteria
Blosnavirus	vertebrates
Blunervirus	plants
Bluvavirus	plants
Bocaparvovirus	vertebrates
Bocovirus	bacteria
Bohnovirus	bacteria
Bohwovirus	bacteria
Bohxovirus	bacteria
Bolenivirus	invertebrates
Boloprevirus	bacteria
Bonaevitaevirus	bacteria
Bonghivirus	bacteria
Bongovirus	bacteria
Bonnellvirus	bacteria
Bonzesmacovirus	vertebrates
Boosepivirus	vertebrates
Bopivirus	vertebrates
Borockvirus	bacteria
Bosavirus	bacteria
Boschuvirus	bacteria
Boscovirus	invertebrates
Bossavirus	vertebrates
Bostasmacovirus	vertebrates
Bostovirus	vertebrates
Botoulivirus	algae+fungi
Botrexvirus	fungi
Botrytimonavirus	fungi+phytobiome (S)
Bottigliavirus	archaea
Botybirnavirus	fungi
Bovismacovirus	invertebrates+vertebrates
Bovispumavirus	vertebrates
Bowservirus	bacteria
Bracchivirus	bacteria
Brachyspigtaviriform	bacteria
Bracoviriform	invertebrates
Bragavirus	bacteria
Brambyvirus	plants
Branisovskavirus	bacteria
Breudwovirus	bacteria
Brevihamaparvovirus	invertebrates
Bridgettevirus	bacteria
Brigitvirus	bacteria
Brikhyavirus	bacteria
Bristolvirus	bacteria
Britbratvirus	bacteria
Brizovirus	bacteria
Broinstvirus	bacteria
Bromdenvirus	bacteria
Bromovirus	plants
Bronvirus	bacteria
Brucesealvirus	bacteria
Brudgevirus	bacteria
Brujitavirus	bacteria
Brunovirus	bacteria
Brussowvirus	bacteria
Bruynoghevirus	bacteria
Buchananvirus	bacteria
Buchavirus	bacteria
Bucovirus	bacteria
Buhdavirus	bacteria
Buhlduvirus	bacteria
Bundooravirus	bacteria
Buorbuivirus	bacteria
Burrovirus	bacteria
Burzaovirus	bacteria
Busanvirus	bacteria
Bymovirus	plants
Byrnievirus	bacteria
Cacepaovirus	bacteria
Caecilivirus	vertebrates
Caelumvirus	bacteria
Caeruleovirus	bacteria
Cahdavirus	bacteria
Cahrlavirus	bacteria
Cahrpivirus	bacteria
Cahtavirus	bacteria
Cahtebovirus	bacteria
Caligrhavirus	invertebrates
Callevirus	bacteria
Caloevirus	bacteria
Caminolopintovirus	bacteria
Campanilevirus	bacteria
Camtrevirus	bacteria
Camvirus	bacteria
Canhaevirus	bacteria
Canoevirus	bacteria
Cantarevirus	bacteria
Capillovirus	plants
Capistrivirus	bacteria
Capnelvirus	bacteria
Capripoxvirus	vertebrates
Captovirus	archaea
Capulavirus	plants
Capvunavirus	bacteria
Carbovirus	vertebrates
Cardiovirus	vertebrates
Cardoreovirus	invertebrates
Carettavirus	bacteria
Carjivirus	bacteria
Carlavirus	plants
Carltongylesvirus	bacteria
Carmenvirus	bacteria
Carnodivirus	bacteria
Caroctavirus	bacteria
Carpasinavirus	bacteria
Carvajevirus	bacteria
Casadabanvirus	bacteria
Catalunyavirus	bacteria
Catfishvirus	bacteria
Catindovirus	bacteria
Cauhldivirus	bacteria
Caulimovirus	plants
Cavemovirus	plants
Cavevirus	bacteria
Cbastvirus	bacteria
Cbunavirus	bacteria
Cebadecemvirus	bacteria
Cebevirus	bacteria
Ceceduovirus	bacteria
Cecivirus	bacteria
Cedarrivervirus	bacteria
Ceduovirus	bacteria
Ceetrepovirus	bacteria
Cehakivirus	bacteria
Cehntrovirus	bacteria
Celavirus	plants
Celiavirus	bacteria
Cellubavirus	bacteria
Cenphatecvirus	bacteria
Centapoxvirus	vertebrates
Cepunavirus	bacteria
Cequinquevirus	bacteria
Certevirus	bacteria
Certrevirus	bacteria
Cervidpoxvirus	vertebrates
Cetarhavirus	vertebrates
Cetovirus	bacteria
Chaedoavirus	bacteria
Chahsmivirus	bacteria
Chakrabartyvirus	bacteria
Chalconvirus	bacteria
Changchunvirus	bacteria
Chaoshanvirus	bacteria
Chaovirus	archaea
Chaphamaparvovirus	vertebrates
Charlievirus	bacteria
Charybdisvirus	bacteria
Charybdivirus	invertebrates
Charybnivirus	invertebrates
Chatterjeevirus	bacteria
Chenonavirus	bacteria
Cheoctovirus	bacteria
Cheravirus	plants
Chertseyvirus	bacteria
Cheungvirus	bacteria
Chiangmaivirus	bacteria
Chidieberevirus	bacteria
Chihyovirus	bacteria
Chimpavirus	bacteria
Chimshavirus	vertebrates
Chinihovirus	bacteria
Chipapillomavirus	vertebrates
Chipolycivirus	invertebrates
Chirohepevirus	vertebrates
Chitorquevirus	vertebrates
Chivirus	bacteria
Chlamydiamicrovirus	bacteria
Chloriridovirus	invertebrates
